location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"st. george, ut",accident,2002-01-20,united states,non-fatal,airplane,cessna,175,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,st. george,ut
"clear lake, mn",accident,2002-01-20,united states,non-fatal,airplane,piper,pa-18,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,clear lake,mn
"mammoth lakes, ca",accident,2002-01-21,united states,non-fatal,airplane,beech,b36tc,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,mammoth lakes,ca
"mammoth lakes, ca",accident,2002-01-21,united states,non-fatal,airplane,cessna,206h,1.0,reciprocating,0.0,0.0,0.0,0.0,37.623889,-118.837777,no,mammoth lakes,ca
"iowa falls, ia",accident,2002-01-21,united states,non-fatal,airplane,piper,pa-22-160,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,iowa falls,ia
"milton, fl",accident,2002-01-22,united states,non-fatal,airplane,bellanca,7kcab,1.0,reciprocating,0.0,0.0,0.0,0.0,30.6375,-86.993611,no,milton,fl
"farmington, nm",accident,2002-01-22,united states,fatal(1),airplane,cessna,177,1.0,reciprocating,1.0,0.0,1.0,0.0,36.733611,-108.235,no,farmington,nm
"chicago, il",accident,2002-01-22,united states,non-fatal,airplane,cessna,t210n,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,chicago,il
"bronson, mi",accident,2002-01-23,united states,fatal(1),airplane,cessna,402b,2.0,reciprocating,1.0,0.0,0.0,0.0,41.8975,-85.183333,no,bronson,mi
"waterville, me",accident,2002-01-24,united states,non-fatal,airplane,cessna,208b,1.0,turbo prop,0.0,1.0,0.0,1.0,44.533333,-69.683333,no,waterville,me
"indianapolis, in",accident,2002-01-24,united states,non-fatal,airplane,mcdonnell douglas,dc-9-41,2.0,turbo jet,0.0,0.0,1.0,0.0,unknown,unknown,no,indianapolis,in
"boca raton, fl",accident,2002-01-25,united states,non-fatal,airplane,cessna,182l,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,boca raton,fl
"chittenden, vt",accident,2002-01-25,united states,fatal(2),airplane,smith,aerostar 601p,2.0,reciprocating,2.0,0.0,0.0,0.0,43.819445,-72.892222,no,chittenden,vt
"anchorage, ak",incident,2002-01-25,united states,incident,airplane,airbus industrie,a-340-300,4.0,turbo fan,0.0,0.0,0.0,0.0,61.174445,-149.996389,no,anchorage,ak
"lynchburg, va",accident,2002-01-26,united states,non-fatal,airplane,beech,f33a,1.0,reciprocating,0.0,0.0,0.0,0.0,37.377778,-79.122223,no,lynchburg,va
"marlboro, ma",accident,2002-01-26,united states,non-fatal,airplane,socata,tb-9,1.0,reciprocating,0.0,0.0,0.0,0.0,40.343055,-71.500833,no,marlboro,ma
"levittown, pr",accident,2002-01-26,united states,non-fatal,airplane,cessna,172p,1.0,reciprocating,0.0,2.0,0.0,2.0,18.45,-66.2,no,levittown,pr
"payson, az",accident,2002-01-26,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,1.0,0.0,34.261389,-111.343333,no,payson,az
"doylestown, pa",accident,2002-01-26,united states,non-fatal,airplane,cessna,172p,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,doylestown,pa
"ardmore, ok",accident,2002-01-26,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,ardmore,ok
"bloomington, in",accident,2002-01-26,united states,non-fatal,airplane,beech,f33a,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,bloomington,in
"eagle point, or",accident,2002-01-27,united states,non-fatal,airplane,piper,pa-18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,eagle point,or
"richmond, va",accident,2002-01-27,united states,non-fatal,airplane,cessna,172r,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,richmond,va
"alexandria, mn",accident,2002-01-27,united states,fatal(2),airplane,bellanca,17-30a,1.0,reciprocating,2.0,0.0,0.0,0.0,unknown,unknown,no,alexandria,mn
"moses lake, wa",accident,2002-01-28,united states,non-fatal,airplane,beech,b-19,1.0,reciprocating,0.0,0.0,0.0,0.0,47.150556,-119.503333,no,moses lake,wa
"berryville, ar",accident,2002-01-28,united states,non-fatal,airplane,piper,pa-28,1.0,reciprocating,0.0,0.0,0.0,0.0,36.55,-93.616667,no,berryville,ar
"falls city, ne",accident,2002-01-28,united states,non-fatal,airplane,piper,pa-32-300,1.0,reciprocating,0.0,0.0,0.0,0.0,40.078611,-95.591944,no,falls city,ne
"salina, ks",accident,2002-01-28,united states,non-fatal,airplane,beech,23,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,salina,ks
"american fork, ut",accident,2002-01-28,united states,fatal(1),airplane,beech,v35b,1.0,reciprocating,1.0,0.0,0.0,0.0,40.466111,-111.720278,no,american fork,ut
"ames, ia",accident,2002-01-30,united states,non-fatal,airplane,piper,pa-42-720,2.0,turbo prop,0.0,0.0,0.0,0.0,41.988611,-93.619723,no,ames,ia
"stonyford, ca",accident,2002-01-30,united states,fatal(1),airplane,piper,aerostar 601p,2.0,reciprocating,1.0,0.0,0.0,0.0,39.436389,-122.695555,no,stonyford,ca
"winfield, ks",accident,2002-01-30,united states,fatal(2),airplane,cessna,441,2.0,turbo prop,2.0,0.0,0.0,0.0,37.135555,-96.901667,no,winfield,ks
"silver city, mt",accident,2002-01-31,united states,non-fatal,airplane,robinson,r-22 beta,1.0,reciprocating,0.0,0.0,2.0,0.0,46.749444,-112.180278,no,silver city,mt
"chester, ct",accident,2002-01-31,united states,fatal(2),airplane,beech,v35b,1.0,reciprocating,2.0,0.0,0.0,0.0,41.391111,-72.508889,no,chester,ct
"river ranch, fl",accident,2002-02-01,united states,non-fatal,airplane,cessna,r172e,1.0,reciprocating,0.0,0.0,2.0,0.0,27.74,-81.1,no,river ranch,fl
"ouzinkie, ak",accident,2002-02-01,united states,non-fatal,airplane,britten-norman,bn2a-26,2.0,reciprocating,0.0,0.0,0.0,0.0,57.926945,-152.500833,no,ouzinkie,ak
"puyallup, wa",accident,2002-02-02,united states,non-fatal,airplane,aero commander,520,2.0,reciprocating,0.0,1.0,1.0,1.0,47.106667,-122.289722,no,puyallup,wa
"santa ana, ca",accident,2002-02-02,united states,non-fatal,airplane,beech,58p,2.0,reciprocating,0.0,0.0,0.0,0.0,33.681667,-117.869167,no,santa ana,ca
"hawthorne, ca",accident,2002-02-02,united states,non-fatal,airplane,aviat,pitts s-2b,1.0,reciprocating,0.0,0.0,0.0,0.0,33.926945,-118.336389,no,hawthorne,ca
"san simeon, ca",accident,2002-02-03,united states,non-fatal,airplane,beech,t-34b/d-45,1.0,reciprocating,0.0,0.0,0.0,0.0,36,-119,no,san simeon,ca
"joshua tree, ca",accident,2002-02-03,united states,non-fatal,airplane,beech,95-b55,2.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,joshua tree,ca
"hobbs, nm",accident,2002-02-04,united states,non-fatal,airplane,piper,pa-31t,2.0,turbo prop,0.0,0.0,1.0,0.0,32.6875,-103.216945,no,hobbs,nm
"bethel, ak",accident,2002-02-04,united states,fatal(1),airplane,cessna,206,1.0,reciprocating,1.0,0.0,0.0,0.0,61.267223,-164.263611,no,bethel,ak
"ottumwa, ia",accident,2002-02-05,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,ottumwa,ia
"talkeetna, ak",accident,2002-02-05,united states,non-fatal,airplane,cessna,150,1.0,reciprocating,0.0,1.0,1.0,1.0,62.323056,-150.1,no,talkeetna,ak
"camden, ar",accident,2002-02-06,united states,non-fatal,airplane,beech,200,2.0,turbo prop,0.0,0.0,0.0,0.0,33.622778,-92.763333,no,camden,ar
"atlanta, ga",accident,2002-02-06,united states,fatal(4),airplane,piper,pa-32-300,1.0,reciprocating,4.0,0.0,0.0,0.0,33.877778,-84.282778,no,atlanta,ga
"novato, ca",accident,2002-02-07,united states,non-fatal,airplane,cessna,525a,2.0,turbo fan,0.0,0.0,0.0,0.0,38.133333,-122.561944,no,novato,ca
"houston, tx",accident,2002-02-07,united states,non-fatal,airplane,piper,pa-18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,29.668056,-95.394444,no,houston,tx
"point pleasant, wv",accident,2002-02-08,united states,non-fatal,airplane,beech,be-23,1.0,reciprocating,0.0,0.0,0.0,0.0,38.929723,-81.819445,no,point pleasant,wv
"santa fe, nm",accident,2002-02-08,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,35.469167,-106,no,santa fe,nm
"broomfield, co",accident,2002-02-08,united states,non-fatal,airplane,gulfstream aerospace,g-iv,2.0,turbo fan,0.0,0.0,1.0,0.0,unknown,unknown,no,broomfield,co
"fremont, oh",accident,2002-02-09,united states,non-fatal,airplane,piper,pa-20,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,fremont,oh
"san diego, ca",accident,2002-02-09,united states,non-fatal,airplane,great lakes,2t-1a-1,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,san diego,ca
"manito, il",accident,2002-02-09,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,manito,il
"creswell, or",accident,2002-02-10,united states,non-fatal,airplane,boeing stearman,a75n1,1.0,reciprocating,0.0,0.0,0.0,0.0,43.931945,-123.006667,no,creswell,or
"cleveland, oh",accident,2002-02-10,united states,non-fatal,airplane,mitsubishi,mu-300,2.0,turbo fan,0.0,0.0,0.0,0.0,41.565,-81.486111,no,cleveland,oh
"cedar key, fl",accident,2002-02-10,united states,fatal(4),airplane,cessna,tr182,1.0,reciprocating,4.0,0.0,0.0,0.0,29.1375,-83.049722,no,cedar key,fl
"gatesville, tx",accident,2002-02-11,united states,non-fatal,airplane,quicksilver,mxl ii sport,1.0,reciprocating,0.0,2.0,0.0,2.0,31.421111,-97.796944,no,gatesville,tx
"encino, tx",accident,2002-02-11,united states,non-fatal,airplane,robinson,r-22a,1.0,reciprocating,0.0,0.0,0.0,0.0,26.689166,-98.135555,no,encino,tx
"afton, wy",accident,2002-02-11,united states,non-fatal,airplane,aviat,a-1a,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,afton,wy
"miami, fl",accident,2002-02-11,united states,non-fatal,airplane,hiller,uh12e,1.0,reciprocating,0.0,1.0,0.0,1.0,25.793055,-80.290277,no,miami,fl
"scappoose, or",accident,2002-02-12,united states,fatal(1),airplane,piper,pa-24-180,1.0,reciprocating,1.0,1.0,0.0,1.0,45.7725,-121.862222,no,scappoose,or
"winter haven, fl",accident,2002-02-12,united states,non-fatal,airplane,piper,pa -18,1.0,reciprocating,0.0,0.0,0.0,0.0,28.057222,-81.756667,no,winter haven,fl
"copperhill, tn",accident,2002-02-12,united states,non-fatal,airplane,aero commander,500u,2.0,reciprocating,0.0,0.0,1.0,0.0,35.021667,-84.468334,no,copperhill,tn
"panama city bch, fl",accident,2002-02-12,united states,non-fatal,airplane,cessna,150,1.0,reciprocating,0.0,1.0,0.0,1.0,30.213889,-85.680556,no,panama city bch,fl
"glendale, az",accident,2002-02-13,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,glendale,az
"glendale, az",accident,2002-02-13,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,glendale,az
"west palm beach, fl",accident,2002-02-14,united states,non-fatal,airplane,gulfstream aerospace,g-v,2.0,turbo fan,0.0,0.0,0.0,0.0,26.681111,-80.106111,no,west palm beach,fl
"kotzebue, ak",accident,2002-02-14,united states,non-fatal,airplane,boeing,727-100,3.0,turbo fan,0.0,0.0,0.0,0.0,66.885555,-162.598611,no,kotzebue,ak
"pacific city, or",accident,2002-02-15,united states,non-fatal,airplane,cessna,180,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,pacific city,or
"fredericksburg, va",accident,2002-02-16,united states,non-fatal,airplane,piper,pa-28r-200,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,fredericksburg,va
"belle glade, fl",accident,2002-02-16,united states,non-fatal,airplane,"smith, ted aerostar",601p,2.0,reciprocating,0.0,0.0,1.0,0.0,26.683333,80.633333,no,belle glade,fl
"beatty, nv",accident,2002-02-16,united states,non-fatal,airplane,piper,pa-18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,beatty,nv
"harwinton, ct",accident,2002-02-16,united states,non-fatal,airplane,grumman american,aa-5b,1.0,reciprocating,0.0,2.0,0.0,2.0,unknown,unknown,no,harwinton,ct
"newbolds corner, nj",accident,2002-02-17,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,2.0,0.0,2.0,39.958889,-74.778889,no,newbolds corner,nj
"exeter, ri",accident,2002-02-17,united states,fatal(1),airplane,rockwell,500s,2.0,reciprocating,1.0,0.0,0.0,0.0,41.577778,-71.523334,no,exeter,ri
"durango, co",accident,2002-02-17,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,durango,co
"lynxville, wi",accident,2002-02-17,united states,non-fatal,airplane,cessna,172f,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,lynxville,wi
"hackensack, mn",accident,2002-02-17,united states,non-fatal,airplane,cessna,172h,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,hackensack,mn
"pond creek, ok",accident,2002-02-18,united states,non-fatal,airplane,cessna,177,1.0,reciprocating,0.0,0.0,1.0,0.0,36.641389,-97.8,no,pond creek,ok
"englewood, co",accident,2002-02-18,united states,non-fatal,airplane,beech,b36tc,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,englewood,co
"dowagiac, mi",accident,2002-02-18,united states,non-fatal,airplane,cessna,172p,1.0,reciprocating,0.0,1.0,0.0,1.0,unknown,unknown,no,dowagiac,mi
"argyle, ny",accident,2002-02-19,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,1.0,0.0,1.0,unknown,unknown,no,argyle,ny
"lorain, oh",accident,2002-02-19,united states,non-fatal,airplane,hughes,269c,1.0,reciprocating,0.0,0.0,0.0,0.0,41.344166,-82.1775,no,lorain,oh
"beaumont, tx",accident,2002-02-19,united states,non-fatal,airplane,boeing,737-724,2.0,turbo fan,0.0,0.0,1.0,0.0,30.070278,-94.215,no,beaumont,tx
"concrete, wa",accident,2002-02-20,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,48.529723,-121.691666,no,concrete,wa
"mount selman, tx",accident,2002-02-20,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,1.0,0.0,1.0,32.097222,-95.29,no,mount selman,tx
"glendora, ca",accident,2002-02-21,united states,non-fatal,airplane,robinson,r22 beta,1.0,reciprocating,0.0,0.0,0.0,0.0,34.172778,-117.851111,no,glendora,ca
"albuquerque, nm",accident,2002-02-21,united states,non-fatal,airplane,cessna,172a,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,albuquerque,nm
"fredericksburg, tx",accident,2002-02-21,united states,non-fatal,airplane,north american,t28c,1.0,reciprocating,0.0,0.0,0.0,0.0,30.243611,-98.909444,no,fredericksburg,tx
"grand forks, nd",accident,2002-02-21,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,grand forks,nd
"blowing rock, nc",accident,2002-02-21,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,1.0,1.0,1.0,36.131945,-81.542777,no,blowing rock,nc
"santa paula, ca",accident,2002-02-22,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,1.0,0.0,1.0,34.347222,-119.061111,no,santa paula,ca
"san jose, ca",accident,2002-02-22,united states,non-fatal,airplane,beech,v35,1.0,reciprocating,0.0,0.0,0.0,0.0,37.3625,-121.928889,no,san jose,ca
"long beach, ca",accident,2002-02-22,united states,non-fatal,airplane,beech,77,1.0,reciprocating,0.0,0.0,0.0,0.0,33.818334,-118.152778,no,long beach,ca
"atlantic city, nj",accident,2002-02-23,united states,non-fatal,airplane,piper,pa-24-260,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,atlantic city,nj
"atlantic city, nj",accident,2002-02-23,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,0.0,0.0,40.741944,-75.243333,no,atlantic city,nj
"fredericksburg, va",accident,2002-02-23,united states,non-fatal,airplane,cessna,170,1.0,reciprocating,0.0,0.0,1.0,0.0,38.266667,-77.449166,no,fredericksburg,va
"new holstein, wi",accident,2002-02-23,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,new holstein,wi
"franklin, in",accident,2002-02-23,united states,non-fatal,airplane,cessna,182t,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,franklin,in
"fairbanks, ak",accident,2002-02-23,united states,non-fatal,airplane,robinson,r-22,1.0,reciprocating,0.0,0.0,0.0,0.0,64.646944,-147.727223,no,fairbanks,ak
"vero beach, fl",accident,2002-02-23,united states,fatal(2),airplane,piper,pa-28-180,1.0,reciprocating,2.0,0.0,0.0,0.0,27.618611,-80.758333,no,vero beach,fl
"san jose, ca",accident,2002-02-24,united states,non-fatal,airplane,piper,pa-24-250,1.0,reciprocating,0.0,0.0,0.0,0.0,37.299444,-121.803056,no,san jose,ca
"madera, ca",accident,2002-02-24,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,36.927778,-119.851944,no,madera,ca
"tununak, ak",accident,2002-02-24,united states,non-fatal,airplane,cessna,208b,1.0,turbo prop,0.0,0.0,0.0,0.0,60.575556,-165.273056,no,tununak,ak
"ferron, ut",accident,2002-02-24,united states,non-fatal,airplane,piper,pa-32r-300,1.0,reciprocating,0.0,4.0,0.0,4.0,unknown,unknown,no,ferron,ut
"phoenix, az",accident,2002-02-25,united states,non-fatal,airplane,rotorway,rotorway exec 90,1.0,reciprocating,0.0,0.0,0.0,0.0,33.276667,-112.118056,no,phoenix,az
"wilmington, de",accident,2002-02-25,united states,non-fatal,airplane,beechcraft,c23,1.0,reciprocating,0.0,0.0,2.0,0.0,unknown,unknown,no,wilmington,de
"ormond beach, fl",accident,2002-02-25,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,0.0,0.0,0.0,29.301667,-81.113889,no,ormond beach,fl
"hudson, fl",accident,2002-02-25,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,28.433333,-82.7,no,hudson,fl
"anacortes, wa",accident,2002-02-26,united states,non-fatal,airplane,beech,g35,1.0,reciprocating,0.0,0.0,0.0,0.0,48.456667,-122.539166,no,anacortes,wa
"pomona, ca",accident,2002-02-26,united states,fatal(1),airplane,grumman american,aa1b,1.0,reciprocating,1.0,0.0,0.0,0.0,34.097222,-117.781945,no,pomona,ca
"atlanta, ga",accident,2002-02-27,united states,non-fatal,airplane,cessna,210l,1.0,reciprocating,0.0,0.0,0.0,0.0,33.780556,-84.524445,no,atlanta,ga
"appleton, wi",incident,2002-02-27,united states,incident,airplane,canadair,cl-600-2b19,2.0,turbo fan,0.0,0.0,0.0,0.0,44.778611,-95.031945,no,appleton,wi
"marion, sc",accident,2002-02-28,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,1.0,0.0,1.0,unknown,unknown,no,marion,sc
"extension, la",accident,2002-02-28,united states,fatal(1),airplane,air tractor,at-502b,1.0,turbo prop,1.0,0.0,0.0,0.0,32.152778,-91.698333,no,extension,la
"hamilton, ga",accident,2002-02-28,united states,fatal(1),airplane,piper,pa-32-300,1.0,reciprocating,1.0,0.0,1.0,0.0,32.705278,-85.062778,no,hamilton,ga
"hailey, id",accident,2002-03-01,united states,non-fatal,airplane,cessna,421c,2.0,reciprocating,0.0,0.0,0.0,0.0,43.505,-114.296666,no,hailey,id
"kotlik, ak",accident,2002-03-01,united states,non-fatal,airplane,cessna,207a,1.0,reciprocating,0.0,0.0,0.0,0.0,63.031111,-163.53,no,kotlik,ak
"boise, id",incident,2002-03-01,united states,incident,airplane,bombardier,dhc-8-401,2.0,turbo prop,0.0,0.0,0.0,0.0,unknown,unknown,no,boise,id
"austin, tx",accident,2002-03-01,united states,fatal(2),airplane,beech,a36,1.0,reciprocating,2.0,0.0,0.0,0.0,30.180278,-97.650278,no,austin,tx
"seattle, wa",accident,2002-03-02,united states,non-fatal,airplane,boeing,757-200,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,seattle,wa
"coatesville, pa",accident,2002-03-02,united states,non-fatal,airplane,cessna,172p,1.0,reciprocating,0.0,0.0,0.0,0.0,39.983056,-75.866389,no,coatesville,pa
"longmont, co",accident,2002-03-03,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,40.163611,-105.163056,no,longmont,co
"san diego, ca",accident,2002-03-03,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,0.0,0.0,0.0,32.8,-117.143611,no,san diego,ca
"sonoma, ca",accident,2002-03-03,united states,non-fatal,airplane,aeronca,c-3,1.0,reciprocating,0.0,1.0,1.0,1.0,38.257778,-122.434444,no,sonoma,ca
"marana, az",accident,2002-03-03,united states,non-fatal,airplane,fairchild,24w-46,1.0,reciprocating,0.0,0.0,0.0,0.0,32.415556,-111.219723,no,marana,az
"mexia, tx",accident,2002-03-03,united states,fatal(1),airplane,beech,be-60,2.0,reciprocating,1.0,0.0,0.0,0.0,31.619167,-96.502778,no,mexia,tx
"longmont, co",accident,2002-03-04,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,40.163611,-105.162778,no,longmont,co
"ankeny, ia",accident,2002-03-04,united states,non-fatal,airplane,beech,d35,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,ankeny,ia
"macon, ga",accident,2002-03-04,united states,fatal(2),airplane,piper,pa-28-151,1.0,reciprocating,2.0,0.0,0.0,0.0,32.825556,-83.566389,no,macon,ga
"springfield, mo",incident,2002-03-04,united states,incident,airplane,piper,pa-28-181,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,springfield,mo
"springfield, mo",incident,2002-03-04,united states,incident,airplane,beech,be-55,2.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,springfield,mo
